system:index,AWEI1,AWEI2,Blue_p60,Green_p60,ILI,MSAVI2,NDSI,NDVI,NDWI,NIR_p60,Red_p60,SWIR1_p60,SWIR2_p60,Thermal_p60,WRI,class,.geo
0_0_0,0.6159969948930666,0.4367984974524006,0.17978497,0.16331466,1.6682532,-0.104207491949047,0.9745298,-0.25605786,0.24762255,0.09848673,0.16628313,0.0021066586,0.0015321127,277.1767,0.9094499,0,
0_1_0,0.6008672486786963,0.4777707788016414,0.17815709,0.15646797,2.3569188,-0.13395155678127502,0.9746225,-0.41581577,0.45309028,0.058890942,0.14272676,0.002010901,8.1393035E-4,274.2359,0.8796173,0,
0_2_0,0.6522532206727192,0.4779503312893212,0.17633769,0.1711189,2.0969768,-0.14252771300523825,0.97513133,-0.36268657,0.3532753,0.08177702,0.17485344,0.0021545372,0.0011490821,274.45068,0.97076184,0,
0_3_0,0.6752709501888603,0.5404561313334852,0.194388,0.18304072,2.566297,-0.17431482135729026,0.9401168,-0.45758164,0.46027508,0.06765276,0.18179588,0.0056496914,0.006319995,274.45068,0.9432743,0,
0_4_0,0.37598045443883166,0.3540997900418006,0.14167342,0.09977946,3.1023636,-0.09159545834749805,0.94221824,-0.54881144,0.64743096,0.021353945,0.07330246,0.0029684773,0.0021545372,276.76746,0.7103608,0,
0_5_0,0.5911718213465065,0.46142017433885485,0.17442253,0.15618071,2.2362373,-0.13658301758574698,0.9597478,-0.39788738,0.40907133,0.06549822,0.15206313,0.0032078715,0.0015799915,276.80817,0.8973046,0,
0_6_0,0.2277954852906987,0.2293634859379381,0.105094,0.061955184,2.2114027,-0.047605658807905904,0.911374,-0.42698428,0.5637464,0.017284244,0.04304305,0.0028727197,0.0015321127,280.62317,0.60044336,0,
0_7_0,0.6937881197081879,0.5745937447063625,0.1765292,0.17863588,4.8388085,-0.19690194681959683,0.97564214,-0.6743216,0.7134329,0.029876376,0.15359525,0.002202416,0.0016278704,278.06763,1.0117868,0,
0_8_0,0.5938051275152247,0.5244406611018348,0.17365648,0.15335585,4.3549137,-0.12515418202165773,0.96744484,-0.65800875,0.78043365,0.018912125,0.09168793,0.0025375679,0.0017236279,278.4829,0.88478255,0,
0_9_0,0.6924594294396229,0.5487870267243125,0.18213102,0.18165223,3.1736977,-0.19425913729996191,0.96376824,-0.53718,0.53821206,0.05453397,0.18112557,0.003351508,0.0025854467,278.9676,0.9974187,0,
0_10_0,0.5579917834402295,0.48286988282052334,0.15728192,0.14296615,4.979549,-0.14307509808533736,0.9774836,-0.68502724,0.7606133,0.019438792,0.10399279,0.0016278704,9.09688E-4,277.9384,0.9099126,0,
0_11_0,0.5615467813331634,0.3988904260331765,0.16106434,0.14866373,1.6768819,-0.09669977313667677,0.9714287,-0.26114392,0.26219517,0.08690005,0.14832857,0.0021545372,0.0010054456,275.77637,0.92402464,0,
0_12_0,0.4443394227710087,0.3890154183318373,0.12903342,0.11404734,4.0201187,-0.09160261964590177,0.97185445,-0.63080555,0.7670624,0.015033941,0.06640792,0.0016278704,5.745363E-4,278.7455,0.88530594,0,
0_13_0,0.5128420464461669,0.33938901545479894,0.15728192,0.13841766,1.2998245,-0.053679663961316626,0.9626614,-0.13770364,0.1306218,0.10643461,0.14042857,0.0026333255,0.0013405974,274.69174,0.8820359,0,
0_14_0,0.639002728232299,0.44872029502585065,0.17700799,0.16829404,1.7533786,-0.11561457428572153,0.97805303,-0.28009918,0.2671233,0.09733763,0.17308193,0.0018672644,8.618092E-4,274.1941,0.95128477,0,
0_15_0,0.7074694790353533,0.5904057274165098,0.20492135,0.18337588,3.4207933,-0.18469838418383355,0.9732098,-0.5623573,0.59983295,0.0458679,0.16374557,0.002489689,0.0016757491,278.60858,0.89612186,0,
0_16_0,0.4136969916289672,0.38923088810406625,0.15967587,0.1100734,2.2006376,-0.06702582518850775,0.93763185,-0.4143764,0.611637,0.026524857,0.06406185,0.0035430233,0.0021066586,275.541,0.6960985,0,
0_17_0,0.5382178219151683,0.486041848489549,0.20147407,0.14559948,1.7996343,-0.07475012364951128,0.9265126,-0.31821358,0.51368845,0.0467776,0.09044308,0.005553934,0.0037345386,274.3553,0.730111,0,
0_18_0,0.4206992586841807,0.4120451344642788,0.16652253,0.109403096,2.9142878,-0.06600231801397127,0.95885146,-0.5290009,0.7429444,0.016135152,0.052379422,0.0022981737,0.0013405974,274.0266,0.6616562,0,
0_19_0,0.7937590928049758,0.6048531718552113,0.22282803,0.20793772,2.1259146,-0.1569531220387521,0.9718503,-0.3712443,0.4020985,0.088671565,0.19338255,0.0029684773,0.001436355,276.56656,0.93405426,0,
0_20_0,0.7209593477455201,0.5368293344363337,0.20530438,0.18840316,1.9134023,-0.13141399776246165,0.9783812,-0.32201576,0.34945133,0.09082612,0.17710376,0.0020587798,6.2241504E-4,275.64697,0.9184946,0,
0_21_0,0.6922799188905628,0.5216756686422741,0.19802679,0.1808383,2.0593507,-0.14061338888666597,0.977487,-0.35516095,0.3684783,0.083452776,0.17538011,0.0020587798,7.181727E-4,274.06253,0.9140943,0,
0_22_0,0.7141844929428771,0.5378946345299482,0.20032498,0.1873977,2.1056108,-0.14790948737417298,0.9727824,-0.36569583,0.37865448,0.08445823,0.18184376,0.0025854467,0.001436355,274.8521,0.93629074,0,
0_23_0,0.6171341039589606,0.48377958411583677,0.17265102,0.16446374,2.5701885,-0.1630818984782958,0.95059633,-0.45838565,0.45243132,0.062003065,0.16695344,0.004165448,0.0031121138,276.69763,0.9536962,0,
0_24_0,0.5043315853690729,0.34897675656247884,0.16221344,0.14200857,1.3283198,-0.060216131259559824,0.9160208,-0.15386097,0.14894441,0.10518976,0.14344494,0.0062242374,0.0045484784,277.87512,0.8800454,0,
0_25_0,0.6296184919192456,0.4708762227674015,0.18878618,0.16920374,1.7515371,-0.1109487897892244,0.95140815,-0.2860973,0.30937386,0.08924612,0.16077708,0.0042133266,0.0029205985,274.59363,0.8985363,0,
