system:index,AWEI1,AWEI2,Blue_p30,Green_p30,ILI,MSAVI2,NDSI,NDVI,NDWI,NIR_p30,Red_p30,SWIR1_p30,SWIR2_p30,Thermal_p30,WRI,class,.geo
0_0_0,5802.25,3666.0,1209.0,1511.0,1.8475540386803186,-0.8375772963460122,1.0,-0.29539078,0.26443514,879.0,1616.0,0.0,8.0,2772.0,1.249793217535153,0,
0_1_0,5562.0,4049.5,1187.0,1418.0,2.9318681318681317,-1.919294969136331,1.0,-0.4905028,0.5133405,456.0,1334.0,-1.0,0.0,2742.0,1.1947723440134908,0,
0_2_0,6312.5,4180.5,1176.0,1627.0,2.4533898305084745,-1.4521523379952441,0.9975445,-0.4210742,0.39477068,706.0,1733.0,2.0,4.0,2745.0,1.3828522920203734,0,
0_3_0,6669.75,4974.75,1424.0,1781.0,3.1725888324873095,-2.2676804556816705,0.9592959,-0.5320946,0.5254818,554.0,1814.0,37.0,61.0,2745.0,1.24435318275154,0,
0_4_0,1909.75,1920.75,665.0,606.0,3.21875,-3.7669082976629653,0.7928994,-0.65909094,0.7413793,90.0,438.0,70.0,77.0,2765.0,0.9197278911564626,0,
0_5_0,5549.5,3935.75,1161.0,1439.0,2.6983546617915906,-1.7376103736595496,0.9834597,-0.46553448,0.4579534,535.0,1467.0,12.0,9.0,2768.0,1.236999147485081,0,
0_6_0,3849.25,3681.75,1609.0,981.0,2.357142857142857,-1.305101591035509,1.0,-0.3959572,0.588664,254.0,587.0,-2.0,7.0,2703.0,0.6092097075295582,0,
0_7_0,6933.0,5348.75,1206.0,1751.0,9.709677419354838,-8.513116752934536,0.9977182,-0.814433,0.83928573,153.0,1496.0,2.0,9.0,2781.0,1.451158940397351,0,
0_8_0,5588.25,4634.0,1165.0,1412.0,19.102564102564102,-16.7618145315109,0.9915374,-0.9140625,0.95432526,33.0,735.0,6.0,10.0,2785.0,1.210930828351836,0,
0_9_0,6944.0,5102.0,1283.0,1790.0,4.264976958525345,-3.342246596537393,0.98447895,-0.62683254,0.6199095,420.0,1831.0,14.0,20.0,2790.0,1.3909020817270625,0,
0_10_0,5198.75,4155.25,965.0,1299.0,23.81578947368421,-16.915906961015075,1.0,-0.91120505,0.93736017,42.0,904.0,-4.0,1.0,2779.0,1.347554630593132,0,
0_11_0,5284.25,3272.25,1014.0,1374.0,1.8558673469387754,-0.8557620902523695,0.997093,-0.2999105,0.27458256,782.0,1452.0,2.0,3.0,2758.0,1.3543307086614174,0,
0_12_0,3607.5,2806.5,548.0,896.0,-35.5,-37.967195473164246,1.0,-1.0,1.0,-8.0,428.0,-4.0,-2.0,2787.0,1.6397058823529411,0,
0_13_0,4523.75,2454.0,922.0,1202.0,1.3577981651376148,-0.35974914431221805,0.99006623,-0.15254237,0.10427193,975.0,1326.0,6.0,6.0,2747.0,1.3017241379310345,0,
0_14_0,6151.0,3858.75,1188.0,1591.0,1.9690011481056258,-0.9622633367320077,1.0,-0.32508698,0.2913961,873.0,1714.0,-2.0,1.0,2742.0,1.3397976391231028,0,
0_15_0,6973.0,5505.5,1555.0,1775.0,4.947368421052632,-3.9627885508651843,0.994382,-0.66631687,0.69613,318.0,1588.0,5.0,10.0,2786.0,1.141025641025641,0,
0_16_0,3089.75,2746.5,929.0,804.0,3.119047619047619,-2.3782244329441653,0.96336997,-0.5469388,0.757377,111.0,379.0,15.0,14.0,2755.0,0.8675847457627118,0,
0_17_0,4794.25,4146.0,1506.0,1277.0,2.0192837465564737,-1.1400006085686414,0.9451637,-0.36381322,0.5922693,327.0,701.0,36.0,32.0,2744.0,0.851491569390402,0,
0_18_0,3147.75,3003.5,1023.0,794.0,121.0,-22.277281740382566,0.99247175,-1.0,1.0,-1.0,236.0,3.0,6.0,2740.0,0.776803118908382,0,
0_19_0,8127.25,5857.75,1798.0,2095.0,2.485969387755102,-1.5066043533392985,0.99049884,-0.43004417,0.46043918,774.0,1942.0,10.0,7.0,2766.0,1.1642699115044248,0,
0_20_0,7162.5,4959.0,1556.0,1838.0,2.1924528301886794,-1.1905728413744328,1.0,-0.37347502,0.39559606,796.0,1745.0,-1.0,-2.0,2756.0,1.1813504823151126,0,
